time_ref,account,code,country_code,product_type,value,status
201512,Imports,0,CC,Goods,6921,F
201512,Imports,0,CD,Goods,1321,F
201512,Imports,0,CG,Goods,3062,F
201512,Imports,0,CH,Goods,86178419,F
201512,Imports,0,CI,Goods,182,F
201512,Imports,0,CK,Goods,84772,F
201512,Imports,0,CL,Goods,25378548,F
201512,Imports,0,CM,Goods,495446,F
201512,Imports,0,CN,Goods,2783298966,F
201512,Imports,0,CO,Goods,4798952,F
201512,Imports,0,CR,Goods,2351688,F
201512,Imports,0,CU,Goods,100261,F
201512,Imports,0,CV,Goods,14,F
201512,Imports,0,CX,Goods,2653904,F
201512,Imports,0,CY,Goods,151437,F
201512,Imports,0,CZ,Goods,41397225,F
201512,Imports,0,DE,Goods,629059221,F
201512,Imports,0,DK,Goods,48361011,F
201512,Imports,0,DM,Goods,5730,F
201512,Imports,0,DO,Goods,3641020,F
201512,Imports,0,DZ,Goods,27715,F
201512,Imports,0,EC,Goods,15642807,F
201512,Imports,0,EE,Goods,1638574,F
201512,Imports,0,EG,Goods,903275,F
201512,Imports,0,EH,Goods,587,F
201512,Imports,0,ER,Goods,652,F
201512,Imports,0,ES,Goods,112802311,F
201512,Imports,0,ET,Goods,2666450,F
201512,Imports,0,FI,Goods,39705438,F
201512,Imports,0,FJ,Goods,18354901,F
201512,Imports,0,FK,Goods,4158,F
201512,Imports,0,FO,Goods,12621,F
201512,Imports,0,FR,Goods,285112636,F
201512,Imports,0,GA,Goods,241752,F
201512,Imports,0,GB,Goods,362294955,F
201512,Imports,0,GD,Goods,25500,F
201512,Imports,0,GE,Goods,30607,F
201512,Imports,0,GH,Goods,4471567,F
201512,Imports,0,GI,Goods,1427,F
201512,Imports,0,GM,Goods,4337,F
201512,Imports,0,GN,Goods,67412,F
201512,Imports,0,GP,Goods,15872,F
201512,Imports,0,GR,Goods,6097151,F
201512,Imports,0,GT,Goods,713043,F
201512,Imports,0,GY,Goods,617811,F
201512,Imports,0,HK,Goods,26497515,F
201512,Imports,0,HN,Goods,834705,F
201512,Imports,0,HR,Goods,1118551,F
201512,Imports,0,HT,Goods,123982,F
201512,Imports,0,HU,Goods,17728131,F
201512,Imports,0,ID,Goods,229051816,F
201512,Imports,0,IE,Goods,42194546,F
